player_id,firstname,lastname,position,height,weight,byear,rookie,position.number,team_id
203476,Gorgui,Dieng,Center,83,238,1990,2013,9,1610612750
203477,Isaiah,Canaan,Point-Guard,73,195,1991,2013,1,1610612755
203481,Jeff,Withey,Center,84,235,1990,2013,9,1610612762
203482,Kelly,Olynyk,Center,84,238,1991,2013,9,1610612738
203484,Kentavious,Caldwell-Pope,Shooting-Guard,77,205,1993,2013,3,1610612765
203485,Lorenzo,Brown,Point-Guard,77,186,1990,2013,1,0
203486,Mason,Plumlee,Forward-Center,83,235,1990,2013,8,1610612757
203487,Michael,Carter-Williams,Point-Guard,78,185,1991,2013,1,1610612749
203488,Mike,Muscala,Forward-Center,84,240,1991,2014,8,1610612737
203490,Otto,Porter,Small-Forward,80,200,1993,2013,5,1610612764
203492,Ray,McCallum,Point-Guard,75,190,1991,2013,1,1610612759
203493,Reggie,Bullock,Guard-Forward,79,200,1991,2013,4,1610612765
203496,Robert,Covington,Power-Forward,81,215,1990,2013,7,1610612755
203497,Rudy,Gobert,Center,85,239,1992,2013,9,1610612762
203498,Shabazz,Muhammad,Small-Forward,78,222,1992,2013,5,1610612750
203499,Shane,Larkin,Point-Guard,71,176,1992,2013,1,1610612751
203500,Steven,Adams,Center,84,255,1993,2013,9,1610612760
203501,Tim,Hardaway Jr.,Shooting-Guard,78,205,1992,2013,3,1610612737
203503,Tony,Snell,Guard-Forward,79,200,1991,2013,4,1610612741
203504,Trey,Burke,Point-Guard,73,190,1992,2013,1,1610612762
203506,Victor,Oladipo,Guard,76,215,1992,2013,2,1610612753
203507,Giannis,Antetokounmpo,Guard-Forward,81,210,1994,2013,4,1610612749
203508,Sergey,Karasev,Shooting-Guard,79,196,1993,2013,3,1610612751
203512,Lucas,Nogueira,Center,84,241,1992,2014,9,1610612761
203515,Phil,Pressey,Point-Guard,71,175,1991,2013,1,1610612756
203516,James,Ennis,Guard-Forward,78,215,1990,2014,4,1610612763
203521,Matthew,Dellavedova,Point-Guard,76,190,1990,2013,1,1610612739
203524,Solomon,Hill,Small-Forward,79,225,1991,2013,5,1610612754
203526,Raul,Neto,Point-Guard,73,180,1992,2015,1,1610612762
203527,Ryan,Kelly,Power-Forward,83,230,1991,2013,7,1610612747
203530,Joffrey,Lauvergne,Forward-Center,83,220,1991,2015,8,1610612743
203546,Ian,Clark,Guard,75,173,1991,2013,2,1610612744
203552,Seth,Curry,Point-Guard,74,185,1990,2013,1,1610612758
203584,Troy,Daniels,Point-Guard,76,200,1991,2014,1,1610612766
203613,Jonathon,Simmons,Guard-Forward,78,195,1989,2015,4,1610612759
203648,Thanasis,Antetokounmpo,Small-Forward,78,219,1992,2016,5,1610612752
203798,PJ,Hairston,Guard-Forward,78,230,1992,2014,4,1610612763
203893,Russ,Smith,Point-Guard,72,165,1991,2014,1,0
203894,Shabazz,Napier,Point-Guard,72,175,1991,2014,1,1610612753
203895,Jordan,McRae,Guard,77,179,1991,2016,2,1610612756
203897,Zach,LaVine,Guard,77,200,1995,2014,2,1610612750
203898,Tyler,Ennis,Point-Guard,75,194,1994,2014,1,1610612749
203900,Markel,Brown,Shooting-Guard,75,190,1992,2014,3,1610612751
203901,Elfrid,Payton,Point-Guard,75,195,1994,2014,1,1610612753
203903,Jordan,Clarkson,Guard,76,194,1992,2014,2,1610612747
203906,Devyn,Marble,Shooting-Guard,78,200,1992,2014,3,1610612753
203909,KJ,McDaniels,Guard-Forward,78,205,1993,2014,4,1610612745
203912,CJ,Wilcox,Shooting-Guard,77,195,1990,2014,3,1610612746
203914,Gary,Harris,Shooting-Guard,76,210,1994,2014,3,1610612743
203915,Spencer,Dinwiddie,Guard,77,215,1993,2014,2,1610612765
203917,Nik,Stauskas,Shooting-Guard,78,205,1993,2014,3,1610612755
203918,Rodney,Hood,Guard-Forward,80,208,1992,2014,4,1610612762
203919,Jordan,Adams,Shooting-Guard,77,209,1994,2014,3,1610612763
203921,Cleanthony,Early,Small-Forward,80,210,1991,2014,5,1610612752
203922,Glenn,Robinson,Guard-Forward,78,222,1994,2014,4,1610612754
203923,James,Young,Shooting-Guard,78,215,1995,2014,3,1610612738
203924,Jerami,Grant,Forward,80,210,1994,2014,6,1610612755
203925,Joe,Harris,Guard-Forward,78,220,1991,2014,4,0
203926,Doug,McDermott,Forward,79,225,1992,2014,6,1610612741
203928,Cory,Jefferson,Power-Forward,81,218,1990,2014,7,0
203930,Sean,Kilpatrick,Shooting-Guard,76,210,1990,2015,3,0
203932,Aaron,Gordon,Forward,80,235,1995,2014,6,1610612753
203933,TJ,Warren,Small-Forward,80,220,1993,2014,5,1610612756
203934,Lamar,Patterson,Shooting-Guard,77,225,1991,2015,3,1610612737
203935,Marcus,Smart,Guard,75,220,1994,2014,2,1610612738
203937,Kyle,Anderson,Forward,81,230,1993,2014,6,1610612759
203939,Dwight,Powell,Forward-Center,82,240,1991,2014,8,1610612742
203940,Adreian,Payne,Power-Forward,82,237,1991,2014,7,1610612750
203943,Noah,Vonleh,Forward-Center,82,257,1995,2014,8,1610612757
203944,Julius,Randle,Forward-Center,80,250,1994,2014,8,1610612747
203946,Cameron,Bairstow,Forward-Center,81,250,1990,2014,8,1610612741
203948,Johnny,O'Bryant,Power-Forward,81,257,1993,2014,7,1610612749
203949,James Michael,McAdoo,Power-Forward,81,230,1993,2015,7,1610612744
203950,Jarnell,Stokes,Forward-Center,81,263,1994,2014,8,0
203951,Keith,Appling,Point-Guard,73,185,1992,2016,1,0
203952,Andrew,Wiggins,Forward,79,197,1995,2014,6,1610612750
203953,Jabari,Parker,Power-Forward,80,245,1995,2014,7,1610612749
203954,Joel,Embiid,Center,84,280,1994,2016,9,1610612755
203955,Bryce,Cotton,Point-Guard,73,165,1992,2015,1,0
203956,Mitch,McGary,Power-Forward,82,255,1992,2014,7,1610612760
203957,Dante,Exum,Guard,77,214,1995,2014,2,1610612762
203960,JaKarr,Sampson,Forward,79,214,1993,2014,6,1610612743
203961,Eric,Moreland,Power-Forward,82,238,1991,2014,7,1610612758
203962,Josh,Huestis,Power-Forward,79,230,1991,2016,7,1610612760
203963,Shayne,Whittington,Power-Forward,83,250,1991,2014,7,1610612754
203991,Clint,Capela,Center,82,240,1994,2014,9,1610612745
203994,Jusuf,Nurkic,Center,83,290,1994,2014,9,1610612743
203996,Damien,Inglis,Small-Forward,80,246,1995,2015,5,1610612749
203998,Bruno,Caboclo,Forward-Center,81,218,1995,2014,8,1610612761
203999,Nikola,Jokic,Center,83,284,1995,2015,9,1610612743
204001,Kristaps,Porzingis,Forward-Center,87,240,1995,2015,8,1610612752
204002,Walter,Tavares,Center,87,260,1992,2015,9,1610612737
204014,Damjan,Rudez,Small-Forward,82,228,1986,2014,5,1610612750
204020,Tyler,Johnson,Guard,75,186,1992,2015,2,1610612748
204025,Tim,Frazier,Point-Guard,72,170,1990,2015,1,0
204028,Tarik,Black,Center,81,250,1991,2014,9,1610612747
204038,Langston,Galloway,Guard,73,200,1991,2015,2,1610612752
204060,Joe,Ingles,Forward,80,220,1987,2014,6,1610612762
204067,Jarell,Eddie,Small-Forward,79,218,1991,2015,5,1610612764
204456,TJ,McConnell,Point-Guard,73,190,1992,2015,1,1610612755
1626143,Jahlil,Okafor,Center,82,270,1995,2015,9,1610612755
1626144,Emmanuel,Mudiay,Point-Guard,75,200,1996,2015,1,1610612743
1626145,Tyus,Jones,Point-Guard,72,196,1996,2015,1,1610612750
1626146,Cliff,Alexander,Power-Forward,80,245,1995,2015,7,1610612757
1626147,Justin,Anderson,Guard-Forward,78,230,1993,2015,4,1610612742
1626148,Anthony,Brown,Small-Forward,79,210,1992,2015,5,1610612747
1626149,Montrezl,Harrell,Forward-Center,79,240,1994,2015,8,1610612745
1626151,Aaron,Harrison,Shooting-Guard,78,210,1994,2015,3,1610612766
1626153,Delon,Wright,Guard,77,185,1992,2015,2,1610612761
1626154,RJ,Hunter,Shooting-Guard,77,185,1993,2015,3,1610612738
1626155,Sam,Dekker,Power-Forward,81,230,1994,2015,7,1610612745
1626156,D'Angelo,Russell,Point-Guard,76,193,1995,2015,1,1610612747
1626157,Karl-Anthony,Towns,Center,83,248,1995,2015,9,1610612750
1626158,Richaun,Holmes,Forward-Center,82,235,1993,2015,8,1610612755
1626159,Justise,Winslow,Guard-Forward,78,222,1996,2015,4,1610612748
1626161,Willie,Cauley-Stein,Center,84,240,1993,2015,9,1610612758
1626162,Kelly,Oubre,Small-Forward,79,203,1995,2015,5,1610612764
1626163,Frank,Kaminsky,Forward-Center,84,240,1993,2015,8,1610612766
1626164,Devin,Booker,Shooting-Guard,77,206,1996,2015,3,1610612756
1626166,Cameron,Payne,Guard,73,183,1994,2015,2,1610612760
1626167,Myles,Turner,Center,83,250,1996,2015,9,1610612754
1626168,Trey,Lyles,Power-Forward,81,234,1995,2015,7,1610612762
1626169,Stanley,Johnson,Forward,78,242,1996,2015,6,1610612765
1626170,Jerian,Grant,Guard,76,205,1992,2015,2,1610612752
1626171,Bobby,Portis,Forward-Center,82,250,1995,2015,8,1610612741
1626172,Kevon,Looney,Forward-Center,81,222,1996,2015,8,1610612744
1626173,Rashad,Vaughn,Shooting-Guard,78,202,1996,2015,3,1610612749
1626174,Christian,Wood,Forward-Center,82,214,1995,2015,8,0
1626175,Jordan,Mickey,Power-Forward,80,235,1994,2015,7,1610612738
1626176,Rakeem,Christmas,Power-Forward,81,250,1991,2016,7,1610612754
1626178,Rondae,Hollis-Jefferson,Forward,78,217,1995,2015,6,1610612751
1626179,Terry,Rozier,Guard,73,190,1994,2015,2,1610612738
1626181,Norman,Powell,Guard-Forward,75,215,1993,2015,4,1610612761
1626183,Branden,Dawson,Power-Forward,78,225,1993,2015,7,1610612746
1626185,Jarell,Martin,Power-Forward,82,239,1994,2015,7,1610612763
1626191,Chris,McCullough,Power-Forward,83,200,1995,2016,7,1610612751
1626192,Pat,Connaughton,Shooting-Guard,77,209,1993,2015,3,1610612757
1626196,Josh,Richardson,Guard-Forward,77,200,1993,2015,4,1610612748
1626199,Darrun,Hilliard,Shooting-Guard,78,205,1993,2015,3,1610612765
1626202,Joe,Young,Point-Guard,74,180,1992,2015,1,1610612754
1626204,Larry,Nance Jr.,Forward-Center,79,245,1993,2015,8,1610612747
