"GAME_ID","event_id","EVENTMSGTYPE","EVENTMSGACTIONTYPE","PERIOD","WCTIMESTRING","PCTIMESTRING","HOMEDESCRIPTION","NEUTRALDESCRIPTION","VISITORDESCRIPTION","SCORE","SCOREMARGIN","PERSON1TYPE","PLAYER1_ID","PLAYER1_NAME","PLAYER1_TEAM_ID","PLAYER1_TEAM_CITY","PLAYER1_TEAM_NICKNAME","PLAYER1_TEAM_ABBREVIATION","PERSON2TYPE","PLAYER2_ID","PLAYER2_NAME","PLAYER2_TEAM_ID","PLAYER2_TEAM_CITY","PLAYER2_TEAM_NICKNAME","PLAYER2_TEAM_ABBREVIATION","PERSON3TYPE","PLAYER3_ID","PLAYER3_NAME","PLAYER3_TEAM_ID","PLAYER3_TEAM_CITY","PLAYER3_TEAM_NICKNAME","PLAYER3_TEAM_ABBREVIATION","game_clock"
21500506,236,2,1,3,"5:17 PM","0:01","MISS Grant 25' 3PT Jump Shot",NA,"","","",4,1626170,"Jerian Grant",1610612752,"New York","Knicks","NYK",0,0,"",NA,"","","",0,0,"",NA,"","","",1
21500506,237,4,0,3,"5:17 PM","0:00","KNICKS Rebound",NA,"","","",2,1610612752,"",NA,"","","",0,0,"",NA,"","","",0,0,"",NA,"","","",0
21500506,238,13,0,3,"5:17 PM","0:00","",NA,"","76 - 86","10",0,0,"",NA,"","","",0,0,"",NA,"","","",0,0,"",NA,"","","",0
21500506,240,12,0,4,"5:20 PM","12:00","",NA,"","76 - 86","10",0,0,"",NA,"","","",0,0,"",NA,"","","",0,0,"",NA,"","","",720
21500506,241,1,47,4,"5:20 PM","11:37","Afflalo 13' Turnaround Jump Shot (32 PTS) (Williams 2 AST)",NA,"","76 - 88","12",4,201167,"Arron Afflalo",1610612752,"New York","Knicks","NYK",4,202682,"Derrick Williams",1610612752,"New York","Knicks","NYK",0,0,"",NA,"","","",697
21500506,242,2,101,4,"5:20 PM","11:18","",NA,"MISS Mack 11' Driving Floating Jump Shot","","",5,202714,"Shelvin Mack",1610612737,"Atlanta","Hawks","ATL",0,0,"",NA,"","","",0,0,"",NA,"","","",678
21500506,243,4,0,4,"5:20 PM","11:17","",NA,"Mack REBOUND (Off:1 Def:0)","","",5,202714,"Shelvin Mack",1610612737,"Atlanta","Hawks","ATL",0,0,"",NA,"","","",0,0,"",NA,"","","",677
21500506,244,1,42,4,"5:21 PM","11:05","",NA,"Mack 3' Driving Layup (10 PTS)","78 - 88","10",5,202714,"Shelvin Mack",1610612737,"Atlanta","Hawks","ATL",0,0,"",NA,"","","",0,0,"",NA,"","","",665
21500506,245,1,1,4,"5:21 PM","10:38","Galloway 21' Jump Shot (4 PTS) (Williams 3 AST)",NA,"","78 - 90","12",4,204038,"Langston Galloway",1610612752,"New York","Knicks","NYK",4,202682,"Derrick Williams",1610612752,"New York","Knicks","NYK",0,0,"",NA,"","","",638
21500506,246,5,45,4,"5:21 PM","10:27","",NA,"Mack Out of Bounds - Bad Pass Turnover Turnover (P3.T13)","","",5,202714,"Shelvin Mack",1610612737,"Atlanta","Hawks","ATL",0,0,"",NA,"","","",0,0,"",NA,"","","",627
21500506,247,2,1,4,"5:22 PM","10:12","MISS Grant 26' 3PT Jump Shot",NA,"","","",4,1626170,"Jerian Grant",1610612752,"New York","Knicks","NYK",0,0,"",NA,"","","",0,0,"",NA,"","","",612
21500506,248,4,0,4,"5:22 PM","10:11","",NA,"Bazemore REBOUND (Off:0 Def:2)","","",5,203145,"Kent Bazemore",1610612737,"Atlanta","Hawks","ATL",0,0,"",NA,"","","",0,0,"",NA,"","","",611
21500506,249,2,73,4,"5:22 PM","9:59","",NA,"MISS Bazemore 3' Driving Reverse Layup","","",5,203145,"Kent Bazemore",1610612737,"Atlanta","Hawks","ATL",0,0,"",NA,"","","",0,0,"",NA,"","","",599
21500506,250,4,0,4,"5:22 PM","9:58","Lopez REBOUND (Off:5 Def:5)",NA,"","","",4,201577,"Robin Lopez",1610612752,"New York","Knicks","NYK",0,0,"",NA,"","","",0,0,"",NA,"","","",598
21500506,251,2,73,4,"5:22 PM","9:42","MISS Williams 3' Driving Reverse Layup",NA,"","","",4,202682,"Derrick Williams",1610612752,"New York","Knicks","NYK",0,0,"",NA,"","","",0,0,"",NA,"","","",582
21500506,252,4,0,4,"5:22 PM","9:41","",NA,"Horford REBOUND (Off:0 Def:3)","","",5,201143,"Al Horford",1610612737,"Atlanta","Hawks","ATL",0,0,"",NA,"","","",0,0,"",NA,"","","",581
21500506,254,1,1,4,"5:23 PM","9:25","",NA,"Korver 15' Jump Shot (11 PTS) (Mack 4 AST)","80 - 90","10",5,2594,"Kyle Korver",1610612737,"Atlanta","Hawks","ATL",5,202714,"Shelvin Mack",1610612737,"Atlanta","Hawks","ATL",0,0,"",NA,"","","",565
21500506,255,1,3,4,"5:23 PM","9:07","Lopez 6' Hook Shot (16 PTS)",NA,"","80 - 92","12",4,201577,"Robin Lopez",1610612752,"New York","Knicks","NYK",0,0,"",NA,"","","",0,0,"",NA,"","","",547
21500506,256,5,1,4,"5:23 PM","8:58","Grant STEAL (2 STL)",NA,"Millsap Bad Pass Turnover (P4.T14)","","",5,200794,"Paul Millsap",1610612737,"Atlanta","Hawks","ATL",4,1626170,"Jerian Grant",1610612752,"New York","Knicks","NYK",0,0,"",NA,"","","",538
21500506,257,1,1,4,"5:23 PM","8:51","Afflalo 26' 3PT Jump Shot (35 PTS) (Grant 6 AST)",NA,"","80 - 95","15",4,201167,"Arron Afflalo",1610612752,"New York","Knicks","NYK",4,1626170,"Jerian Grant",1610612752,"New York","Knicks","NYK",0,0,"",NA,"","","",531
21500506,258,9,1,4,"5:23 PM","8:48","",NA,"Hawks Timeout: Regular (Reg.4 Short 0)","","",3,1610612737,"",NA,"","","",0,0,"",NA,"","","",0,0,"",NA,"","","",528
21500506,260,8,0,4,"5:26 PM","8:48","",NA,"SUB: Scott FOR Horford","","",5,201143,"Al Horford",1610612737,"Atlanta","Hawks","ATL",5,203118,"Mike Scott",1610612737,"Atlanta","Hawks","ATL",0,0,"",NA,"","","",528
21500506,261,8,0,4,"5:26 PM","8:48","",NA,"SUB: Teague FOR Mack","","",5,202714,"Shelvin Mack",1610612737,"Atlanta","Hawks","ATL",5,201952,"Jeff Teague",1610612737,"Atlanta","Hawks","ATL",0,0,"",NA,"","","",528
21500506,263,1,73,4,"5:26 PM","8:40","",NA,"Millsap 3' Driving Reverse Layup (17 PTS)","82 - 95","13",5,200794,"Paul Millsap",1610612737,"Atlanta","Hawks","ATL",0,0,"",NA,"","","",0,0,"",NA,"","","",520
21500506,264,1,1,4,"5:26 PM","8:23","Galloway 26' 3PT Jump Shot (7 PTS) (Grant 7 AST)",NA,"","82 - 98","16",4,204038,"Langston Galloway",1610612752,"New York","Knicks","NYK",4,1626170,"Jerian Grant",1610612752,"New York","Knicks","NYK",0,0,"",NA,"","","",503
21500506,265,2,42,4,"5:27 PM","8:05","",NA,"MISS Bazemore 3' Driving Layup","","",5,203145,"Kent Bazemore",1610612737,"Atlanta","Hawks","ATL",0,0,"",NA,"","","",0,0,"",NA,"","","",485
21500506,266,4,0,4,"5:27 PM","8:04","Lopez REBOUND (Off:5 Def:6)",NA,"","","",4,201577,"Robin Lopez",1610612752,"New York","Knicks","NYK",0,0,"",NA,"","","",0,0,"",NA,"","","",484
21500506,267,2,3,4,"5:27 PM","7:54","MISS Lopez 10' Hook Shot",NA,"","","",4,201577,"Robin Lopez",1610612752,"New York","Knicks","NYK",0,0,"",NA,"","","",0,0,"",NA,"","","",474
21500506,268,4,0,4,"5:27 PM","7:53","",NA,"Scott REBOUND (Off:0 Def:2)","","",5,203118,"Mike Scott",1610612737,"Atlanta","Hawks","ATL",0,0,"",NA,"","","",0,0,"",NA,"","","",473
21500506,269,6,1,4,"5:27 PM","7:32","Lopez P.FOUL (P3.T1) (H.Workman)",NA,"","","",4,201577,"Robin Lopez",1610612752,"New York","Knicks","NYK",5,200794,"Paul Millsap",1610612737,"Atlanta","Hawks","ATL",1,0,"",NA,"","","",452
